Time,Temperature,Change in Length
974.1173706,880.5368652,107.8806
974.1546021,879.5031738,107.6671143
974.1917725,878.5979614,107.4590988
974.2289429,877.9026489,107.2675095
974.2662354,877.2113648,107.0923386
974.3034058,875.7843628,106.7283325
974.3405762,874.611145,106.4464111
974.3759766,873.6578369,106.2767181
974.413147,873.067627,106.1371307
974.4517212,872.1307983,105.9537506
974.4889526,871.2957153,105.7128906
974.526062,870.2491455,105.4857178
974.5631714,869.7112427,105.2996063
974.6004028,868.684082,104.9109497
974.6375732,866.7810059,104.6372376
974.6746826,865.7927856,104.4702911
974.7119141,865.5253296,104.3799744
974.7490845,864.840271,104.2048035
974.7861939,864.0966187,103.9666824
974.822937,862.7137451,103.591713
974.8600464,861.4558106,103.3317032
974.8971558,860.5818481,103.1948471
974.9344482,859.9690552,103.0333633
974.9716797,858.8301392,102.8527374
975.0087891,858.3791504,102.6036606
975.0460815,857.5439453,102.4312286
975.083252,856.6096191,102.0507813
975.1203613,854.649231,101.5553818
975.1575928,852.8742065,101.3774796
975.1947632,852.2702026,101.3254776
975.2318726,852.4163818,101.2981033
975.269165,852.1205444,101.1448364
975.3063965,851.0283203,100.8300781
975.3435059,849.9224243,100.575531
975.3807983,848.8289795,100.3018417
975.4180298,847.4761963,100.0774002
975.4551392,846.8312378,99.87213135
975.4924927,845.8833008,99.68054199
975.5296021,845.5442505,99.55190277
975.5668335,844.5458374,99.30830383
975.6039429,843.277832,98.96617889
975.6411743,842.0324097,98.72531128
975.6765747,841.409729,98.56384277
975.7137451,840.5368042,98.3832016
975.7509155,839.9337158,98.17792511
975.788147,838.7372437,97.95075226
975.836853,837.8869019,97.61136627
975.8637085,836.6895752,97.18439484
975.9009399,834.3433838,96.8012085
975.9380493,833.2751465,96.77931213
975.9752197,833.2415772,96.77110291
976.0125122,833.0980225,96.64794159
976.0496216,832.8908081,96.44813538
976.086792,831.6881104,96.17990875
976.1240234,830.4349976,95.897995
976.1611939,829.5292358,95.69819641
976.1983643,828.8236694,95.43544769
976.2356567,827.7163696,95.21648407
